Amostra	Transecto X Y Argila Silte Areia
190	IV	350	150	76	12	12
191	IV	400	150	73	14	13
192	IV	450	150	72	15	13
193	IV	500	150	72	17	11
194	IV	550	150	70	17	13
195	IV	600	150	69	17	14
196	IV	650	150	68	18	14
197	IV	700	150	69	16	15
198	IV	750	150	69	17	14
199	IV	800	150	68	18	14
200	IV	850	150	70	16	14
201	IV	900	150	70	16	14
202	IV	950	150	70	17	13
203	IV	1000	150	70	16	14
204	IV	1050	150	69	18	13
205	IV	1100	150	67	19	14
206	IV	1150	150	67	18	15
207	IV	1200	150	64	19	17
208	IV	1250	150	65	21	14
209	IV	1300	150	66	20	14
210	IV	1350	150	69	18	13
211	IV	1400	150	66	20	14
212	IV	1450	150	68	19	13
213	IV	1500	150	69	20	11
214	IV	1550	150	69	20	11
215	IV	1600	150	69	20	11
216	IV	1650	150	68	23	9
217	IV	1700	150	70	21	9
218	IV	1750	150	70	20	10
219	IV	1800	150	71	19	10
220	IV	1850	150	70	18	12
221	IV	1900	150	69	19	12
222	IV	1950	150	67	21	12
223	IV	2000	150	68	20	12
224	IV	2050	150	67	20	13
225	IV	2100	150	69	17	14
226	IV	2150	150	69	18	13
227	IV	2200	150	67	20	13
228	IV	2250	150	64	22	14
229	IV	2300	150	64	20	16
230	IV	2350	150	64	19	17
231	IV	2400	150	63	22	15
232	IV	2450	150	58	25	17
233	IV	2500	150	61	23	16
234	IV	2550	150	61	23	16
235	IV	2600	150	62	23	15
236	IV	2650	150	57	26	17
237	IV	2700	150	60	25	15
238	IV	2750	150	58	25	17
239	IV	2800	150	60	22	18
240	IV	2850	150	59	19	22
241	IV	2900	150	59	19	22
242	IV	2950	150	49	16	35
243	IV	3000	150	44	16	40
244	IV	3050	150	38	28	34
245	V	0	200	55	13	32
246	V	50	200	57	13	30
247	V	100	200	62	16	22
248	V	150	200	70	15	15
249	V	200	200	72	16	12
250	V	250	200	72	15	13
251	V	300	200	67	17	16
252	V	350	200	67	19	14
253	V	400	200	67	18	15
254	V	450	200	65	20	15
255	V	500	200	70	17	13
256	V	550	200	70	17	13
257	V	600	200	70	16	14
258	V	650	200	70	17	13
259	V	700	200	67	19	14
260	V	750	200	69	18	13
261	V	800	200	68	18	14
262	V	850	200	68	19	13
263	V	900	200	70	17	13
264	V	950	200	67	19	14
265	V	1000	200	63	21	16
266	V	1050	200	66	21	13
267	V	1100	200	67	19	14
268	V	1150	200	66	20	14
269	V	1200	200	67	18	15
270	V	1250	200	64	20	16
271	V	1300	200	65	20	15
272	V	1350	200	63	22	15
273	V	1400	200	67	21	12
274	V	1450	200	68	20	12
275	V	1500	200	68	22	10
276	V	1550	200	67	23	10
277	V	1600	200	63	27	10
278	V	1650	200	68	19	13
279	V	1700	200	66	22	12
280	V	1750	200	68	21	11
281	V	1800	200	68	20	12
282	V	1850	200	68	12	20
283	V	1900	200	66	19	15
284	V	1950	200	68	17	15
285	V	2000	200	64	19	17
286	V	2050	200	64	17	19
287	V	2100	200	63	17	20
288	V	2150	200	61	17	22
289	V	2200	200	63	19	18
290	V	2250	200	58	24	18
291	V	2300	200	63	19	18
292	V	2350	200	62	20	18
293	V	2400	200	61	22	17
294	V	2450	200	59	22	19
295	V	2500	200	61	22	17
296	V	2550	200	59	20	21
297	V	2600	200	60	19	21
298	V	2650	200	59	18	23
299	V	2700	200	57	18	25
300	V	2750	200	54	18	28
301	V	2800	200	47	14	39
302	V	2850	200	41	13	46
